# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-132.98
# idle,pivot_deg,-7.12
# idle,pivot_deg,36.30
# idle,pivot_deg,33.31
# idle,pivot_deg,35.77
# idle,pivot_deg,36.30
# idle,pivot_deg,36.04
# > o
# ok,pivot zeroed
# idle,pivot_deg,0.35
# idle,pivot_deg,1.58
# idle,pivot_deg,1.93
# idle,pivot_deg,1.32
# idle,pivot_deg,0.97
# > q 180

#BEGIN
# test,yquiet
# nominal_deg,180.0
# sample_hz,200
# action,do not touch the arm
t_s,pivot_deg,wheel_deg
3.7850,2.813,248.685
3.7900,2.813,248.331
3.7950,2.813,248.508
3.8000,2.900,248.508
3.8050,2.900,248.951
3.8100,2.900,248.597
3.8150,2.813,248.419
3.8200,2.900,248.597
3.8250,2.900,248.419
3.8300,2.988,248.508
3.8350,2.988,248.154
3.8400,2.988,248.685
3.8450,3.076,248.242
3.8500,3.164,248.597
3.8550,3.164,248.597
3.8600,3.252,248.774
3.8650,3.252,248.597
3.8700,3.340,248.508
3.8750,3.252,248.508
3.8800,3.252,248.508
3.8850,3.340,248.154
3.8900,3.252,248.508
3.8950,3.252,248.419
3.9000,3.252,248.508
3.9050,3.164,248.508
3.9100,3.076,248.685
3.9150,2.988,248.685
3.9200,2.988,248.597
3.9250,2.900,248.863
3.9300,2.813,248.242
3.9350,2.725,248.951
3.9400,2.725,248.685
3.9450,2.725,248.685
3.9500,2.725,248.508
3.9550,2.813,248.774
3.9600,2.813,248.508
3.9650,2.813,248.419
3.9700,2.813,248.597
3.9750,2.813,248.508
3.9800,2.813,248.508
3.9850,2.813,248.508
3.9900,2.813,248.685
3.9950,2.813,248.597
4.0000,2.813,248.597
4.0050,2.813,248.508
4.0100,2.813,249.040
4.0150,2.900,248.863
4.0200,2.900,248.331
4.0250,2.988,248.685
